Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-01-02 08:18,1.211,0.081,0,0,0,0,v
2017-01-02 08:24,1.222,0.067,0,0,0,0,v
2017-01-02 08:30,1.241,0.063,0,0,0,0,v
2017-01-02 08:36,1.242,0.069,0,0,0,0,v
2017-01-02 08:42,1.248,0.082,0,0,0,0,v
2017-01-02 08:48,1.270,0.066,0,0,0,0,v
2017-01-02 08:54,1.294,0.077,0,0,0,0,v
2017-01-02 09:00,1.297,0.057,0,0,0,0,v
2017-01-02 09:06,1.284,0.071,0,0,0,0,v
2017-01-02 09:12,1.291,0.069,0,0,0,0,v
2017-01-02 09:18,1.306,0.063,0,0,0,0,v
2017-01-02 09:24,1.329,0.064,0,0,0,0,v
2017-01-02 09:30,1.352,0.067,0,0,0,0,v
2017-01-02 09:36,1.325,0.067,0,0,0,0,v
2017-01-02 09:42,1.298,0.071,0,0,0,0,v
2017-01-02 09:48,1.313,0.067,0,0,0,0,v
2017-01-02 09:54,1.331,0.086,0,0,0,0,v
2017-01-02 10:00,1.326,0.080,0,0,0,0,v
2017-01-02 10:06,1.332,0.074,0,0,0,0,v
2017-01-02 10:12,1.312,0.077,0,0,0,0,v
2017-01-02 10:18,1.319,0.068,0,0,0,0,v
2017-01-02 10:24,1.284,0.058,0,0,0,0,v
2017-01-02 10:30,1.273,0.060,0,0,0,0,v
2017-01-02 10:36,1.301,0.070,0,0,0,0,v
2017-01-02 10:42,1.301,0.072,0,0,0,0,v
2017-01-02 10:48,1.307,0.071,0,0,0,0,v
2017-01-02 10:54,1.263,0.055,0,0,0,0,v
2017-01-02 11:00,1.256,0.065,0,0,0,0,v
2017-01-02 11:06,1.230,0.062,0,0,0,0,v
2017-01-02 11:12,1.245,0.058,0,0,0,0,v
2017-01-02 11:18,1.246,0.066,0,0,0,0,v
2017-01-02 11:24,1.217,0.060,0,0,0,0,v
2017-01-02 11:30,1.209,0.060,0,0,0,0,v
2017-01-02 11:36,1.188,0.064,0,0,0,0,v
2017-01-02 11:42,1.193,0.060,0,0,0,0,v
2017-01-02 11:48,1.170,0.059,0,0,0,0,v
2017-01-02 11:54,1.148,0.072,0,0,0,0,v
2017-01-02 12:00,1.136,0.066,0,0,0,0,v
2017-01-02 12:06,1.126,0.078,0,0,0,0,v
2017-01-02 12:12,1.129,0.068,0,0,0,0,v
2017-01-02 12:18,1.094,0.077,0,0,0,0,v
2017-01-02 12:24,1.070,0.064,0,0,0,0,v
2017-01-02 12:30,1.094,0.073,0,0,0,0,v
2017-01-02 12:36,1.074,0.070,0,0,0,0,v
2017-01-02 12:42,1.068,0.068,0,0,0,0,v
2017-01-02 12:48,1.056,0.062,0,0,0,0,v
2017-01-02 12:54,1.015,0.067,0,0,0,0,v
2017-01-02 13:00,1.026,0.071,0,0,0,0,v
2017-01-02 13:06,1.005,0.069,0,0,0,0,v
2017-01-02 13:12,0.980,0.059,0,0,0,0,v
2017-01-02 13:18,0.985,0.052,0,0,0,0,v
2017-01-02 13:24,0.989,0.056,0,0,0,0,v
2017-01-02 13:30,0.994,0.068,0,0,0,0,v
2017-01-02 13:36,0.959,0.056,0,0,0,0,v
2017-01-02 13:42,0.923,0.066,0,0,0,0,v
2017-01-02 13:48,0.932,0.068,0,0,0,0,v
2017-01-02 13:54,0.939,0.052,0,0,0,0,v
2017-01-02 14:00,0.943,0.065,0,0,0,0,v
2017-01-02 14:06,0.923,0.051,0,0,0,0,v
2017-01-02 14:12,0.900,0.066,0,0,0,0,v
2017-01-02 14:18,0.918,0.066,0,0,0,0,v
2017-01-02 14:24,0.924,0.060,0,0,0,0,v
2017-01-02 14:30,0.917,0.067,0,0,0,0,v
2017-01-02 14:36,0.913,0.065,0,0,0,0,v
2017-01-02 14:42,0.898,0.055,0,0,0,0,v
2017-01-02 14:48,0.889,0.063,0,0,0,0,v
2017-01-02 14:54,0.932,0.070,0,0,0,0,v
2017-01-02 15:00,0.924,0.059,0,0,0,0,v
2017-01-02 15:06,0.910,0.059,0,0,0,0,v
2017-01-02 15:12,0.927,0.052,0,0,0,0,v
2017-01-02 15:18,0.947,0.055,0,0,0,0,v
2017-01-02 15:24,0.960,0.064,0,0,0,0,v
2017-01-02 15:30,0.955,0.058,0,0,0,0,v
2017-01-02 15:36,0.946,0.060,0,0,0,0,v
2017-01-02 15:42,0.956,0.062,0,0,0,0,v
2017-01-02 15:48,0.986,0.060,0,0,0,0,v
2017-01-02 15:54,0.976,0.058,0,0,0,0,v
2017-01-02 16:00,0.971,0.074,0,0,0,0,v
2017-01-02 16:06,1.018,0.056,0,0,0,0,v
2017-01-02 16:12,1.024,0.063,0,0,0,0,v
2017-01-02 16:18,1.035,0.060,0,0,0,0,v
2017-01-02 16:24,1.058,0.060,0,0,0,0,v
2017-01-02 16:30,1.059,0.068,0,0,0,0,v
2017-01-02 16:36,1.082,0.062,0,0,0,0,v
2017-01-02 16:42,1.101,0.064,0,0,0,0,v
2017-01-02 16:48,1.135,0.064,0,0,0,0,v
2017-01-02 16:54,1.119,0.074,0,0,0,0,v
2017-01-02 17:00,1.135,0.077,0,0,0,0,v
2017-01-02 17:06,1.171,0.059,0,0,0,0,v
2017-01-02 17:12,1.197,0.058,0,0,0,0,v
2017-01-02 17:18,1.205,0.066,0,0,0,0,v
2017-01-02 17:24,1.220,0.059,0,0,0,0,v
2017-01-02 17:30,1.249,0.060,0,0,0,0,v
2017-01-02 17:36,1.276,0.066,0,0,0,0,v
2017-01-02 17:42,1.286,0.058,0,0,0,0,v
2017-01-02 17:48,1.264,0.057,0,0,0,0,v
2017-01-02 17:54,1.305,0.068,0,0,0,0,v
2017-01-02 18:00,1.342,0.064,0,0,0,0,v
2017-01-02 18:06,1.335,0.060,0,0,0,0,v
2017-01-02 18:12,1.362,0.059,0,0,0,0,v
2017-01-02 18:18,1.367,0.080,0,0,0,0,v
2017-01-02 18:24,1.379,0.051,0,0,0,0,v
2017-01-02 18:30,1.422,0.059,0,0,0,0,v
2017-01-02 18:36,1.424,0.080,0,0,0,0,v
2017-01-02 18:42,1.433,0.074,0,0,0,0,v
2017-01-02 18:48,1.428,0.063,0,0,0,0,v
2017-01-02 18:54,1.461,0.068,0,0,0,0,v
2017-01-02 19:00,1.496,0.070,0,0,0,0,v
2017-01-02 19:06,1.468,0.064,0,0,0,0,v
2017-01-02 19:12,1.512,0.063,0,0,0,0,v
2017-01-02 19:18,1.507,0.069,0,0,0,0,v
2017-01-02 19:24,1.529,0.063,0,0,0,0,v
2017-01-02 19:30,1.511,0.062,0,0,0,0,v
2017-01-02 19:36,1.527,0.074,0,0,0,0,v
2017-01-02 19:42,1.537,0.075,0,0,0,0,v
2017-01-02 19:48,1.540,0.072,0,0,0,0,v
2017-01-02 19:54,1.577,0.083,0,0,0,0,v
2017-01-02 20:00,1.553,0.076,0,0,0,0,v
2017-01-02 20:06,1.524,0.062,0,0,0,0,v
2017-01-02 20:12,1.554,0.063,0,0,0,0,v
2017-01-02 20:18,1.539,0.064,0,0,0,0,v
2017-01-02 20:24,1.566,0.068,0,0,0,0,v
2017-01-02 20:30,1.541,0.091,0,0,0,0,v
2017-01-02 20:36,1.531,0.070,0,0,0,0,v
2017-01-02 20:42,1.539,0.069,0,0,0,0,v
2017-01-02 20:48,1.533,0.073,0,0,0,0,v
2017-01-02 20:54,1.517,0.066,0,0,0,0,v
2017-01-02 21:00,1.494,0.089,0,0,0,0,v
2017-01-02 21:06,1.488,0.055,0,0,0,0,v
2017-01-02 21:12,1.464,0.077,0,0,0,0,v
2017-01-02 21:18,1.455,0.081,0,0,0,0,v
2017-01-02 21:24,1.436,0.054,0,0,0,0,v
2017-01-02 21:30,1.433,0.072,0,0,0,0,v
2017-01-02 21:36,1.420,0.071,0,0,0,0,v
2017-01-02 21:42,1.433,0.085,0,0,0,0,v
2017-01-02 21:48,1.403,0.056,0,0,0,0,v
2017-01-02 21:54,1.357,0.068,0,0,0,0,v
2017-01-02 22:00,1.334,0.061,0,0,0,0,v
2017-01-02 22:06,1.324,0.092,0,0,0,0,v
2017-01-02 22:12,1.309,0.070,0,0,0,0,v
2017-01-02 22:18,1.280,0.074,0,0,0,0,v
2017-01-02 22:24,1.258,0.052,0,0,0,0,v
2017-01-02 22:30,1.237,0.076,0,0,0,0,v
2017-01-02 22:36,1.184,0.087,0,0,0,0,v
2017-01-02 22:42,1.195,0.070,0,0,0,0,v
2017-01-02 22:48,1.153,0.086,0,0,0,0,v
2017-01-02 22:54,1.112,0.073,0,0,0,0,v
2017-01-02 23:00,1.074,0.076,0,0,0,0,v
2017-01-02 23:06,1.034,0.061,0,0,0,0,v
2017-01-02 23:12,1.039,0.061,0,0,0,0,v
2017-01-02 23:18,1.010,0.061,0,0,0,0,v
2017-01-02 23:24,0.968,0.069,0,0,0,0,v
2017-01-02 23:30,0.945,0.053,0,0,0,0,v
2017-01-02 23:36,0.908,0.065,0,0,0,0,v
2017-01-02 23:42,0.858,0.058,0,0,0,0,v
