anio,mes,dia,hora(utc),altura(mm)
2016,1,20,4,918 
2016,1,20,5,769 
2016,1,20,6,621 
2016,1,20,7,533 
2016,1,20,8,544 
2016,1,20,9,674 
2016,1,20,10,909 
2016,1,20,11,1206 
2016,1,20,12,1496 
2016,1,20,13,1704 
2016,1,20,14,1771 
2016,1,20,15,1665 
2016,1,20,16,1397 
2016,1,20,17,1016 
2016,1,20,18,597 
2016,1,20,19,222 
2016,1,20,20,-42 
2016,1,20,21,-149 
2016,1,20,22,-89 
2016,1,20,23,118 
2016,1,21,0,413 
2016,1,21,1,719 
2016,1,21,2,960 
2016,1,21,3,1085 
2016,1,21,4,1075 
2016,1,21,5,953 
2016,1,21,6,772 
2016,1,21,7,603 
2016,1,21,8,509 
2016,1,21,9,534 
2016,1,21,10,691 
2016,1,21,11,963 
2016,1,21,12,1292 
2016,1,21,13,1599 
2016,1,21,14,1799 
2016,1,21,15,1831 
2016,1,21,16,1670 
2016,1,21,17,1336 
2016,1,21,18,897 
2016,1,21,19,439 
2016,1,21,20,54 
2016,1,21,21,-188 
2016,1,21,22,-248 
2016,1,21,23,-125 
2016,1,22,0,145 
2016,1,22,1,490 
2016,1,22,2,821 
2016,1,22,3,1059 
2016,1,22,4,1156 
2016,1,22,5,1104 
2016,1,22,6,938 
2016,1,22,7,727 
2016,1,22,8,549 
2016,1,22,9,470 
2016,1,22,10,529 
2016,1,22,11,730 
2016,1,22,12,1042 
2016,1,22,13,1395 
2016,1,22,14,1697 
2016,1,22,15,1863 
2016,1,22,16,1836 
2016,1,22,17,1604 
2016,1,22,18,1207 
2016,1,22,19,727 
2016,1,22,20,262 
2016,1,22,21,-95 
2016,1,22,22,-280 
2016,1,22,23,-268 
2016,1,23,0,-72 
2016,1,23,1,254 
2016,1,23,2,625 
2016,1,23,3,950 
2016,1,23,4,1152 
2016,1,23,5,1194 
2016,1,23,6,1086 
2016,1,23,7,879 
2016,1,23,8,652 
2016,1,23,9,486 
2016,1,23,10,443 
2016,1,23,11,550 
2016,1,23,12,800 
2016,1,23,13,1143 
2016,1,23,14,1498 
2016,1,23,15,1766 
2016,1,23,16,1869 
2016,1,23,17,1767 
2016,1,23,18,1464 
2016,1,23,19,1021 
2016,1,23,20,531 
2016,1,23,21,98 
2016,1,23,22,-194 
2016,1,23,23,-297 
2016,1,24,0,-202 
2016,1,24,1,60 
2016,1,24,2,421 
2016,1,24,3,789 
2016,1,24,4,1074 
2016,1,24,5,1214 
2016,1,24,6,1189 
2016,1,24,7,1027 
2016,1,24,8,793 
2016,1,24,9,572 
2016,1,24,10,441 
2016,1,24,11,449 
2016,1,24,12,609 
2016,1,24,13,897 
2016,1,24,14,1249 
2016,1,24,15,1573 
2016,1,24,16,1778 
2016,1,24,17,1802 
2016,1,24,18,1621 
2016,1,24,19,1263 
2016,1,24,20,805 
2016,1,24,21,345 
2016,1,24,22,-20 
2016,1,24,23,-221 
2016,1,25,0,-231 
2016,1,25,1,-58 
2016,1,25,2,250 
2016,1,25,3,616 
2016,1,25,4,947 
2016,1,25,5,1167 
2016,1,25,6,1232 
2016,1,25,7,1143 
2016,1,25,8,943 
2016,1,25,9,705 
2016,1,25,10,514 
2016,1,25,11,433 
2016,1,25,12,496 
2016,1,25,13,700 
2016,1,25,14,1003 
2016,1,25,15,1332 
2016,1,25,16,1595 
2016,1,25,17,1718 
2016,1,25,18,1658 
2016,1,25,19,1414 
2016,1,25,20,1032 
2016,1,25,21,597 
2016,1,25,22,204 
2016,1,25,23,-67 
2016,1,26,0,-168 
2016,1,26,1,-90 
2016,1,26,2,141 
2016,1,26,3,466 
2016,1,26,4,804 
2016,1,26,5,1073 
2016,1,26,6,1216 
2016,1,26,7,1209 
2016,1,26,8,1071 
2016,1,26,9,856 
2016,1,26,10,639 
2016,1,26,11,493 
2016,1,26,12,466 
2016,1,26,13,576 
2016,1,26,14,801 
2016,1,26,15,1089 
2016,1,26,16,1364 
2016,1,26,17,1548 
2016,1,26,18,1586 
2016,1,26,19,1457 
2016,1,26,20,1178 
2016,1,26,21,809 
2016,1,26,22,434 
2016,1,26,23,133 
2016,1,27,0,-34 
2016,1,27,1,-41 
2016,1,27,2,105 
2016,1,27,3,364 
2016,1,27,4,674 
2016,1,27,5,958 
2016,1,27,6,1153 
